uid,name,url,movie_name,rating,comment
yellowmoonbird,晚不安,https://www.douban.com/people/yellowmoonbird/,时光机,还行,是浸泡在这个时代母题里的电影，纳瓦彭·坦荣瓜塔纳利出手总有种奇特的清新和信手拈来的轻盈。可是跟前作《死于明日》比起来，格局真的太小了诶。在无比新颖地探讨过生命和时间之后，再讲回到断舍离这件事上来，叙事还是流俗和保守了，不过终归还是远胜过内地院线那堆都市电影。九百九十九朵玫瑰，哪些随风，又是哪些长留心中。
cabaret,陀螺凡达可,https://www.douban.com/people/cabaret/,时光机,还行,3.5
wxs723,又又,https://www.douban.com/people/wxs723/,时光机,还行,断舍离为噱头，实际上还是在讲前任吧。第一次到前任家里，和前任及他的现任三人看似其乐融融地喝汤，我就觉得不对劲啊。能做得成朋友的前任，千万不要再联系啊。女主模特脸真耐看。
4818550,Beta,https://www.douban.com/people/4818550/,时光机,还行,别道歉，背负你的罪恶感一辈子走下去吧，被你伤害的人也不会永远在原地等你
55414544,克拉許crash,https://www.douban.com/people/55414544/,时光机,推荐,雷。导演的片子依旧保持水准，很喜欢这种风格。适合一个人细细品尝，反复思考，看了后能够体会领悟，认真对待人生的一部电影。但是，不满意的一点，导演这次把女主写坏了。不喜欢自私的人设，只为了可以放下，释怀，不再内疚，只为了自己，可以不理别人的感受。就连后来被点出了缺点之后，本来以为她会认真反省，思考自己对妈妈是否也有错。没想到，“大反转”竟是，不顾一切，继续自私，更加自利。看来她真的是个冷血无情，没认真好好爱过的人。断舍离，不代表真的当起和尚，好好归纳整理，不代表真的放弃七情六欲。
tenkappa,何倩彤,https://www.douban.com/people/tenkappa/,时光机,推荐,趕在政府因疫症關閉電影院前一天進場看，全場算我在內只有四個人。Jean開始執拾時說向哥哥宣佈：「這是我們的時代。」我輩再也不是掙扎生存，而是掙扎生活。
68947670,路人甲先生,https://www.douban.com/people/68947670/,时光机,推荐,尾巴收得太啰嗦，还是觉得停在床上撕碎的照片更好。所谓的断舍离啊，那只是一句“告别过去”这么简单，也从来不是挥别回忆的先决条件。搬空屋子是忍痛面对友情、爱情、亲情的过程，明知无用却眷恋不舍的物品，都承载着过去真实存在的痕迹。“你说出抱歉时我很生气，感觉就像是不用负责了，我只能接受，如果不原谅你，那就是我的问题。所以就不要说吧，一辈子去承受罪恶感，别逃避啊，你办得到吗？”
56922790,哼哼.floweray,https://www.douban.com/people/56922790/,时光机,推荐,"这部电影，恰逢其时。
解封后第二天醒来，没有征兆，没有预想，我就开始大规模地“断舍离”过去的种种物品。
即便搬了三次家，“过去”还是在不知道哪一个角落隐藏，这就像一场对回忆的冒险。于是，儿时干脆面的卡片，初中周杰伦的磁带，高中的电影光盘，包括各种玩具手办全冒了出来。
每一件物品上的灰尘，刮擦与泛黄都是时光无情的痕迹。
特别是我翻到了一本又一本记录时光的笔记，看着潦草扭曲的字体镌刻着彼时的心迹。
哭笑不得中又哭又笑。
好多衣服捐了，好多玩具送给了小区的孩子，好多不用的物品也是该扔扔该送送，连硬盘里的电子书，电影，照片都整合了几遍。
我本不刻意去断舍离，却又在无形中处处断舍离。
或许，只是那天，我又听到了那句略带揶揄的话：没想到我哼哼哥也如此长情。
或许吧，我是长情。可我也应该向前走了。"
zhangzongqian,亵渎电影,https://www.douban.com/people/zhangzongqian/,时光机,推荐,瑞典留学回国之后，准备极简主义搞装修，从断舍离过渡到无法割舍的旧爱，电影进入故事的方式还挺高明的。生活中的每一个物品都有记忆，拿起一件物品，只要没有心动的感觉了，就可以丢入垃圾袋。如果扎起垃圾袋，你根本不会知道那里面是什么，那留着这些东西又有什么用？道理好像是如此，但真要去做，却不是一件简单的事情，有些东西总是难以被割舍，就像女主角断舍离过程中通过物品审视过去，审视自己的生活，虽然片名叫Happy Old Year，但却一点都不happy，跟自己和解的过程处理用这样的方式拍出来，值得学习。
catuncle1988,潜意识,https://www.douban.com/people/catuncle1988/,时光机,还行,气质干净，色调细腻，正对应着电影的出发点，化繁为简的极简主义。然而高估了女主的演技，大量的近景与面部特写，但情感的感染力似乎并未达到。断舍离，走好第一步，其余的交给时间吧。
Nokia95,冰红深蓝,https://www.douban.com/people/Nokia95/,时光机,力荐,[死于明日]导演新作，关于记忆与遗忘的动人小品。1.以搬家清理旧物作引子，再用断舍离六步走（每个小标题都似反讽）的极简主义教程串场，实质上还是落脚到人与人之间的情感上：我能断舍离，对方却不舍；我至终挂念他者，殊不知早已被遗忘。2.照片成为牵系起过往回忆的关键，恍若时间的幽灵。3.对道歉行为中双方心理的洞析（宽恕、不原谅或遗忘），令人想及鲁迅[风筝]，个体的自私与罪疚感相互交织。4.情感表达并未堕入滥情俗套，沉静克制中力道千钧，往事只存在于对话之中，无闪回，依靠观者的想象与共情来重构记忆。5.哀而不伤的点滴配乐一如前作，多以浅景深的近景或特写镜头呈现人物，稍带虚焦肩背的对切镜头则缔造出一种若即若离、略为飘渺的氛围。6.几次平移的匹配转场；在缓缓的移镜头中，往事并不如烟。（8.8/10）
wusequanwei,五色全味,https://www.douban.com/people/wusequanwei/,时光机,推荐,捨不掉的何止只是深愛著的人，也有被影響而留在生命中的習慣、犯過的錯和那些無法消抹的遺憾。唱著《九百九十九朵玫瑰》的母親最打動我。
1413100,文森特,https://www.douban.com/people/1413100/,时光机,较差,带着期望看的，不到一半就垮掉了。本想着跟着女主在清理旧物时搭上时光机，追寻过往的同时解决当前的矛盾，实现人物的上升。结果呢，整理旧物没有挖到宝，基本跟挖坟一样，全是酸腐的过往。眼前的矛盾没解决，人物没有上升，新的矛盾全翻出来了，都是旧恨。老妈的伤心往事，前男友的伤心往事，本来人家都安排的挺好，非得去折腾，大家都不开心了就满意了。这不是断舍离，不是极简，是极其糟心。人成熟的很大一方面，就是别打扰别人。女主搞设计要个工作室，随便租一个不行吗，搞自己家人干嘛，就是极度自私啊，在这样的私心下兜售理念也太坏了，为谁好啊，都是为自己。前男友最后也不怎样，闹了半天老爸没死，最后也没怎么样。最后的空房子简直是个大大的笑话，就像现在空洞的她，自私到最后什么都没有，简直是寓言。节奏很差，特别矫情，都是硬努的。
93124222,寒枝雀静,https://www.douban.com/people/93124222/,时光机,较差,1.5 / 老了，无法欣赏这种《奇葩说》大电影了。假如说前作还能用短片拼接的形式坦承其血肉稀薄，这部改为单线叙事后就几乎是在千方百计遮掩内部堆砌的无能。哪怕演员的表现仍能在局部形成有密度的情绪流，但整体结构的贫瘠肌理依然主导着种种表意需求。因而观影过程无法让观众进入差异化的人物，而必须依赖观众自身调用大量的个人记忆来接合。不论对于观者还是对于其自身试图探讨的意识形态，最终的效果都既空洞又谄媚。
53600614,夏日的小西瓜,https://www.douban.com/people/53600614/,时光机,推荐,细腻清新的泰国电影，适合睡前观赏。许多地方都有所共情。今天完成了实习工作上的一个大任务，如释重负，如果明天不忙的话，写一段短短的碎碎的影评吧，记录观看过程中被这部电影给牵引出来的一些记忆碎片。
